id;parent_id;service_types;name;slug
PRB_Tip_01;;;Adresa nu este corectă;address
PRB_Tip_02;;;Locația punctului pe hartă nu este corectă;location
PRB_Tip_03A;;waste_collection;Materialele colectate nu sunt corecte;materials
PRB_Tip_03B;;repairs;Produsele reparate nu sunt corect listate in descrierea punctului;repairs
PRB_Tip_04;;waste_collection,repairs;Programul nu este corect;schedule
PRB_Tip_05;;waste_collection;Containerul nu funcționează sau nu este bine întreținut;container
PRB_Tip_06A;;waste_collection;Mi s-a refuzat preluarea deșeului;rejected_waste
PRB_Tip_06B;;repairs;Mi s-a refuzat repararea produsului;rejected_repair
PRB_Tip_99;;;Altă problemă;other
PRB_MAT_01;PRB_Tip_03A;;Unele materiale listate în descriere nu se colectează în realitate;materials_remove
PRB_MAT_02;PRB_Tip_03A;;Lipsesc materiale colectate din descriere;materials_add
PRB_MAT_99;PRB_Tip_03A;;Altă problemă;materials_other
PRB_Refuz_A01;PRB_Tip_06A;;Susțin că nu preiau tipul de deșeu pe care am vrut să îl predau
PRB_Refuz_A02;PRB_Tip_06A;;Cantitatea sau modul de prezentare/ împachetare al deșeului a fost cosiderat neadecvat
PRB_Refuz_A99;PRB_Tip_06A;;Altă problemă
PRB_Refuz_B01;PRB_Tip_06B;;Susțin că nu repară tipul de produs pe care am vrut să îl predau
PRB_Refuz_B02;PRB_Tip_06B;;Modul de prezentare/ împachetare al produsului a fost cosiderat neadecvat
PRB_Refuz_B99;PRB_Tip_06B;;Altă problemă
